9/12/2015|start||42259.5382877662|
9/12/2015|stop||42259.6955711574|
9/12/2015|start||42259.6961103588|
9/12/2015|stop||42259.6961672338|
9/14/2015|start||42261.4627234259|
9/14/2015|start||42261.6492714236|
9/14/2015|stop||42261.709392581|
9/14/2015|start||42261.8437594097|
9/14/2015|stop||42261.8447499421|
9/14/2015|start||42261.8570591551|
9/14/2015|stop||42261.9675327199|
9/15/2015|start||42262.2638948495|
9/15/2015|stop||42262.3379065625|
9/15/2015|start||42262.9972311111|
9/16/2015|stop||42263.0123466204|
9/16/2015|start||42263.0124806019|
9/16/2015|stop||42263.0126432755|
9/16/2015|start||42263.0140549306|
9/16/2015|start||42263.01795625|
9/16/2015|stop||42263.0201561921|
9/16/2015|start||42263.5560382639|
9/16/2015|stop||42263.570846088|
